,Titulos,Año,Duracion,Ranking
168,Del revés (Inside Out),2h 12m,13,"8,1"
169,V de vendetta,1h 36m,A/i,"8,2"
170,Klaus,1h 55m,16,"8,1"
171,Tres anuncios en las afueras,2h 9m,16,"8,1"
172,Toro salvaje,1h 33m,18,"8,1"
173,Trainspotting,2h 41m,A,"8,1"
174,El puente sobre el río Kwai,2h 21m,7,"8,1"
175,Atrápame si puedes,1h 38m,18,"8,1"
176,Fargo,1h 27m,2011,"8,7"
177,Kimetsu no Yaiba: Tsuzumi Yashiki Hen,12,2021,"8,1"
178,Warrior,7,2011,"8,2"
179,Spider-Man: No Way Home,7,2008,"8,1"
180,Harry Potter y las Reliquias de la Muerte: Parte 2,13,2004,"8,1"
181,Gran Torino,13,1988,"8,1"
182,Million Dollar Baby,A,2015,"8,1"
183,Mi vecino Totoro,16,1959,"8,1"
184,Mad Max: Furia en la carretera,A,1997,"8,1"
185,Ben-Hur,13,2013,"8,2"
186,Children of Heaven,16,1975,"8,1"
187,12 años de esclavitud,18,1982,"8,1"
188,Barry Lyndon,14,1995,"8,1"
189,Blade Runner,T,2014,"8,1"
190,Antes de amanecer,12,2016,"8,1"
191,El gran hotel Budapest,16,1989,"8,1"
192,Hasta el último hombre (Hacksaw Ridge),13,2014,"8,1"
193,El club de los poetas muertos,16,2003,"8,1"
194,Perdida,18,1993,"8,1"
195,Memories of Murder (Crónica de un asesino en serie),13,1925,"8,1"
196,En el nombre del padre,A,2001,"8,1"
197,La quimera del oro,A,2024,"8,1"
198,"Monstruos, S.A.",2014,2h 2m,"8,5"
199,Maharaja,2007,1h 51m,"8,1"
200,Relatos salvajes,2010,1h 38m,"8,1"
201,Ratatouille,1978,3h 3m,"8,1"
202,How to Train Your Dragon,1975,2h 4m,"8,1"
203,El cazador,1924,45m,"8,1"
204,Tiburón,1926,1h 18m,"8,2"
205,El moderno Sherlock Holmes,2009,1h 32m,"8,1"
206,El maquinista de La General,1954,1h 48m,"8,1"
207,Mary and Max,1953,2h 36m,"8,1"
208,La ley del silencio,2019,2h 32m,"8,1"
209,El salario del miedo,1939,2h 9m,"8,1"
210,Le Mans '66,1957,1h 32m,"8,1"
211,Caballero sin espada,1949,1h 44m,"8,1"
212,Fresas salvajes,2017,2h 17m,"8,1"
213,El tercer hombre,1976,2h,"8,1"
214,Logan,1953,2h 17m,"8,1"
215,Rocky,1998,1h 57m,"8,1"
216,Cuentos de Tokio,1957,1h 36m,"8,1"
217,El gran Lebowski,2015,2h 9m,"8,1"
218,El séptimo sello,2015,1h 58m,"8,1"
219,Spotlight,1984,1h 47m,"8,1"
220,La habitación,2004,2h 1m,"8,1"
221,Terminator,1986,2h,"8,1"
222,Hotel Rwanda,2003,2h 23m,"8,1"
223,Platoon,1995,1h 38m,"8,1"
224,Piratas del Caribe: La maldición de la Perla Negra,2004,1h 20m,"8,1"
225,El odio,1946,2h 50m,"8,1"
226,Antes del atardecer,2021,2h 44m,"8,1"
227,Los mejores años de nuestra vida,1928,1h 50m,"8,7"
228,Jai Bhim,1973,2h 2m,"8,1"
229,La pasión de Juana de Arco,1939,1h 42m,"8,1"
230,El exorcista,2004,1h 55m,"8,1"
231,El mago de Oz,2013,2h 3m,"8,0"
232,Los Increíbles,1976,2h 1m,"8,1"
233,Rush,1986,1h 29m,"8,1"
234,"Network, un mundo implacable",2009,1h 33m,"8,1"
235,Cuenta conmigo,1965,2h 52m,"8,1"
236,Siempre a tu lado (Hachiko),1956,1h 41m,"8,1"
237,Sonrisas y lágrimas,2005,1h 52m,"8,2"
238,Un condenado a muerte se ha fugado,2016,2h 25m,"8,2"
239,Mi padre y mi hijo,1942,1h 39m,"8,1"
240,La doncella,2007,2h 28m,"8,1"
241,Ser o no ser,1999,1h 26m,"8,1"
242,Hacia rutas salvajes,1966,2h 1m,"8,1"
243,El gigante de hierro,1940,2h 9m,"8,1"
244,La batalla de Argel,1993,1h 41m,"8,1"
245,Las uvas de la ira,2000,2h 34m,"8,0"
246,Atrapado en el tiempo,2011,2h 26m,"8,0"
247,Amores perros,1940,2h 10m,"8,1"
248,Criadas y señoras,2016,2h 10m,"8,1"
249,Rebeca,1967,2h 7m,"8,1"
250,A Silent Voice,,,"8,0"
